Gene_ID,C11,C15,C19,C23,N11,N15,N19,N23
NM_001409,1511,3314,3824,2714,4282,3932,3900,5297
NM_001204187,108,189,552,154,437,452,397,283
NM_001204186,108,189,552,154,437,452,397,283
NM_001204185,108,189,552,154,437,452,397,283
NM_001204184,108,189,552,154,437,452,397,283
NM_001204188,108,189,552,154,437,452,397,283
NM_005427,108,189,552,154,437,452,397,283
NM_018836,56,92,87,79,105,78,114,84
NM_001042478,28,65,60,49,69,61,81,53
NM_172130,293,476,665,694,508,212,713,422
NM_003636,293,476,665,694,508,212,713,422
NM_015102,530,1062,826,953,726,728,583,943
NM_015557,44,92,85,109,638,64,133,749
NM_001291593,530,1062,826,953,726,728,583,943
NM_001291594,530,1062,826,953,726,728,583,943
NM_001199861,332,519,733,739,557,236,762,449
NR_111987,530,1062,826,953,726,728,583,943
NM_001195563,305,404,349,362,342,212,181,322
NM_001242701,468,616,564,537,560,366,313,499
NM_024654,969,1199,1322,1182,1014,740,750,873
NM_018198,1169,1887,2175,2017,1771,1471,1286,1950
NR_038934,468,616,564,537,560,366,313,499
NM_001135585,29,140,146,59,55,463,337,96
NM_025106,268,580,616,1155,567,514,504,357
NM_003039,62,554,600,154,185,2050,1341,424
NM_006048,1805,2634,2437,2077,2134,2021,1411,1797
NM_015074,1381,2260,1792,1931,1207,1686,1012,1089
NM_183416,317,431,373,444,320,296,262,319
NM_005026,391,650,1035,943,872,977,1181,984
NM_022787,284,348,371,370,223,249,176,337
NM_001297778,287,352,375,377,232,254,181,339
NM_001297779,88,118,125,123,72,88,50,125
NM_032315,552,712,869,396,298,541,312,241
NM_001105562,1805,2634,2437,2077,2134,2021,1411,1797
NM_004958,2486,5561,4193,4917,2701,4381,2494,2888
NM_017766,2021,5780,4974,3986,6095,6757,3225,5579
NM_001079843,3412,8941,8062,6192,10428,10696,5371,9350
NM_005957,1258,3862,2935,1707,2091,3741,2281,2664
NM_018438,154,338,363,324,315,293,253,361
NM_001066,332,701,923,1050,472,539,861,525
NM_015378,1908,3249,3140,2780,2863,2331,2588,2666
NM_018156,1908,3249,3140,2780,2863,2331,2588,2666
NM_001010847,2,7,8,5,5,4,4,8
NM_001099790,0,0,0,0,0,0,0,0
NM_015866,1149,1733,1685,1740,1165,1106,1049,1036
NM_012231,1362,2017,1970,2296,1623,1342,1342,1545
NM_001135610,1362,2017,1970,2296,1625,1345,1342,1547
NM_001007257,1133,1690,1652,1703,1141,1076,1028,1015
NM_001018001,330,439,461,645,634,282,401,658
NM_033440,13,10,20,26,13,7,4,24
NM_018022,228,418,521,623,774,267,454,647
NM_001018000,334,443,461,651,639,282,408,667
NM_001136218,228,418,521,623,774,267,454,647
NM_001136217,230,431,539,636,813,274,470,683
NM_001136216,230,431,539,636,813,274,470,683
NM_052929,86,179,203,205,1184,127,160,2946
NR_073503,2003,3408,3715,3523,3359,2935,2599,3043
NR_073502,2003,3408,3715,3523,3359,2935,2599,3043
NR_073501,2003,3408,3715,3523,3359,2935,2599,3043
NR_073500,2003,3408,3715,3523,3359,2935,2599,3043
NM_018994,1025,1639,1571,1903,1358,1512,1027,1401
NM_015001,2050,3928,3636,3412,3635,2850,2808,3635
NM_001271869,2003,3408,3715,3523,3359,2935,2599,3043
NM_001114600,2003,3408,3715,3523,3359,2935,2599,3043
NR_027504,155,165,303,165,332,227,219,214
NM_018125,992,1863,1990,2080,2708,2042,2332,3222
NM_001011722,936,1779,1923,1971,2617,1986,2265,3143
NM_001136204,2433,3126,3494,2268,2158,1301,1600,1792
NM_003000,802,901,1037,958,807,674,618,744
NM_018715,2460,3154,3536,2294,2177,1313,1613,1802
NM_152375,25,54,36,28,104,81,41,77
NM_032880,24,191,57,150,501,168,89,458
NM_001135254,7,8,7,13,4,9,8,10
NM_004930,3279,6423,6586,7181,7052,6890,5544,8169
NM_001282162,3276,6355,6544,7148,6938,6794,5466,8060
NR_040289,38,62,97,47,40,42,32,66
NR_040288,38,62,97,47,40,42,32,66
NM_001206541,3279,6423,6586,7181,7052,6890,5544,8169
NM_001206540,3279,6423,6586,7181,7052,6890,5544,8169
NM_020765,4031,7529,6229,6554,6175,6117,4737,6079
